features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Cross Lane Culvert 2","0877/1","Complex Culvert","Elland",410376.017,420368.01,"E08000033"
"Feature","","Cross Lane Culvert","0877/3","Complex Culvert","Elland",410348.025,420361.051,"E08000033"
"Feature","","Inlet/culvert","0164/135","Complex Culvert","Wainstalls",404683.968,429679.03,"E08000033"
"Feature","","Owlers Road Culvert","0566/2","Complex Culvert","Hebden Bridge",400603.029,426954,"E08000033"
"Feature","","Withens Lane Asset","0686/2","Complex Culvert","Cragg Vale",399027.112,423600.835,"E08000033"
"Feature","","Wall culvert","0725/14","Complex Culvert","Hebden Bridge",401678.944,429470.899,"E08000033"
"Feature","","Broadhead Clough Culvert 1","0752/3","Complex Culvert","Mytholmroyd",400040.52,425044.205,"E08000033"
"Feature","","Lady Royd Farm culvert","0517/2","Complex Culvert","Shackleton",397720.143,430409.182,"E08000033"
"Feature","","Winters Lane Culvert","0522/2","Complex Culvert","Hebden Bridge",396758.396,426945.711,"E08000033"
"Feature","","Bowood Lane Culvert 2","0573/14","Complex Culvert","Triangle",403940.727,422437.787,"E08000033"
"Feature","","Acre Farm Culvert","0574/5","Complex Culvert","Slack",397225.939,429281.505,"E08000033"
"Feature","","Ogden Lane Culvert","0590/3","Complex Culvert","Ogden",406673.106,430654.843,"E08000033"
"Feature","","Coiners Barn Culvert","0600/6","Complex Culvert","Cragg Vale",399685.912,424576.925,"E08000033"
